datetime,height
2024-01-01 01:28:00-03:00,0.5
2024-01-01 07:49:00-03:00,1.9
2024-01-01 13:32:00-03:00,0.7
2024-01-01 19:56:00-03:00,2.0
2024-01-02 02:09:00-03:00,0.6
2024-01-02 08:32:00-03:00,1.8
2024-01-02 14:15:00-03:00,0.8
2024-01-02 20:43:00-03:00,1.9
2024-01-03 02:58:00-03:00,0.7
2024-01-03 09:23:00-03:00,1.8
2024-01-03 15:09:00-03:00,0.9
2024-01-03 21:39:00-03:00,1.8
2024-01-04 03:53:00-03:00,0.8
2024-01-04 10:23:00-03:00,1.7
2024-01-04 16:15:00-03:00,0.9
2024-01-04 22:43:00-03:00,1.7
2024-01-05 04:58:00-03:00,0.8
2024-01-05 11:26:00-03:00,1.8
2024-01-05 17:30:00-03:00,0.9
2024-01-05 23:54:00-03:00,1.7
2024-01-06 06:02:00-03:00,0.8
2024-01-06 12:30:00-03:00,1.8
2024-01-06 18:36:00-03:00,0.8
2024-01-07 01:00:00-03:00,1.8
2024-01-07 07:00:00-03:00,0.7
2024-01-07 13:28:00-03:00,1.9
2024-01-07 19:32:00-03:00,0.7
2024-01-08 01:58:00-03:00,1.9
2024-01-08 07:51:00-03:00,0.6
2024-01-08 14:19:00-03:00,2.1
2024-01-08 20:21:00-03:00,0.5
2024-01-09 02:53:00-03:00,2.0
2024-01-09 08:38:00-03:00,0.5
2024-01-09 15:06:00-03:00,2.2
2024-01-09 21:06:00-03:00,0.3
2024-01-10 03:41:00-03:00,2.1
2024-01-10 09:23:00-03:00,0.4
2024-01-10 15:53:00-03:00,2.3
2024-01-10 21:54:00-03:00,0.2
2024-01-11 04:26:00-03:00,2.2
2024-01-11 10:08:00-03:00,0.3
2024-01-11 16:38:00-03:00,2.4
2024-01-11 22:39:00-03:00,0.1
2024-01-12 05:11:00-03:00,2.3
2024-01-12 10:54:00-03:00,0.2
2024-01-12 17:23:00-03:00,2.5
2024-01-12 23:24:00-03:00,0.0
2024-01-13 05:58:00-03:00,2.3
2024-01-13 11:39:00-03:00,0.2
2024-01-13 18:08:00-03:00,2.5
2024-01-14 00:11:00-03:00,0.1
2024-01-14 06:45:00-03:00,2.3
2024-01-14 12:24:00-03:00,0.3
2024-01-14 18:56:00-03:00,2.5
2024-01-15 01:00:00-03:00,0.1
2024-01-15 07:32:00-03:00,2.2
2024-01-15 13:13:00-03:00,0.3
2024-01-15 19:45:00-03:00,2.4
2024-01-16 01:49:00-03:00,0.3
2024-01-16 08:19:00-03:00,2.1
2024-01-16 14:04:00-03:00,0.4
2024-01-16 20:36:00-03:00,2.2
2024-01-17 02:41:00-03:00,0.4
2024-01-17 09:13:00-03:00,2.0
2024-01-17 15:02:00-03:00,0.6
2024-01-17 21:34:00-03:00,2.1
2024-01-18 03:39:00-03:00,0.6
2024-01-18 10:13:00-03:00,1.9
2024-01-18 16:09:00-03:00,0.7
2024-01-18 22:43:00-03:00,1.9
2024-01-19 04:49:00-03:00,0.7
2024-01-19 11:24:00-03:00,1.9
2024-01-19 17:32:00-03:00,0.7
2024-01-20 00:00:00-03:00,1.8
2024-01-20 06:06:00-03:00,0.8
2024-01-20 12:39:00-03:00,1.9
2024-01-20 18:51:00-03:00,0.7
2024-01-21 01:13:00-03:00,1.8
2024-01-21 07:13:00-03:00,0.7
2024-01-21 13:45:00-03:00,2.0
2024-01-21 19:56:00-03:00,0.6
2024-01-22 02:19:00-03:00,1.9
2024-01-22 08:09:00-03:00,0.7
2024-01-22 14:41:00-03:00,2.1
2024-01-22 20:49:00-03:00,0.5
2024-01-23 03:09:00-03:00,2.0
2024-01-23 08:58:00-03:00,0.6
2024-01-23 15:26:00-03:00,2.2
2024-01-23 21:30:00-03:00,0.4
2024-01-24 03:56:00-03:00,2.0
2024-01-24 09:38:00-03:00,0.5
2024-01-24 16:06:00-03:00,2.2
2024-01-24 22:08:00-03:00,0.3
2024-01-25 04:34:00-03:00,2.1
